data,layers,hidden,heads,time
comamazon,3,64,1,5.699
comamazon,3,64,2,7.7525
comamazon,3,64,4,9.501
comamazon,3,128,1,6.9539
comamazon,3,128,2,9.6873
comamazon,3,128,4,12.5085
comamazon,6,64,1,12.7494
comamazon,6,64,2,16.7043
comamazon,6,64,4,23.1722
comamazon,6,128,1,18.5071
comamazon,6,128,2,23.8107
