data,a0,s0,a1,s1,a2,s2
GitHub,0.4,0.2,0.3,0.2,0.3,0.2
blog,0.7,0.6,0.5,0.5,0.3,0.4
ogbn-arxiv,0.7,0.5,0.5,0.5,0.3,0.3
