data,a0,s0,a1,s1,a2,s2
GitHub,0.1,0.2,0.1,0.2,0.1,0.1
blog,0.2,0.8,0.1,0.7,0.1,0.2
ogbn-arxiv,0.2,0.3,0.1,0.5,0.1,0.1
