data,layers,hidden,heads,time
blog,3,64,1,4.1528
blog,3,64,2,10.264
blog,3,64,4,12.5995
blog,3,128,1,5.722
blog,3,128,2,12.6425
blog,3,128,4,16.5451
blog,6,64,1,7.9734
blog,6,64,2,14.1223
blog,6,64,4,16.4288
blog,6,128,1,12.0182
blog,6,128,2,18.9479
blog,6,128,4,22.894
