data,config,dgl
GitHub,1-64,1.8023
blog,1-64,3.6581
ogbn-arxiv,1-64,3.2634
GitHub,4-64,2.8463
blog,4-64,5.0841
ogbn-arxiv,4-64,5.4347
GitHub,8-64,3.2762
blog,8-64,6.2797
ogbn-arxiv,8-64,6.7002
GitHub,1-64,2.0194
blog,1-64,5.3679
ogbn-arxiv,1-64,3.7637
GitHub,4-64,3.7383
blog,4-64,11.1829
ogbn-arxiv,4-64,7.2403
GitHub,8-64,5.0532
blog,8-64,18.2394
ogbn-arxiv,8-64,10.2496
