data,config,gat32
GitHub,1-64,0.5238
blog,1-64,1.3314
ogbn-arxiv,1-64,1.9786
GitHub,4-64,1.0318
blog,4-64,2.9718
ogbn-arxiv,4-64,4.1163
GitHub,8-64,1.7696
blog,8-64,5.3727
ogbn-arxiv,8-64,6.9271
