data,config,gat16
GitHub,1-64,0.4795
blog,1-64,1.1795
ogbn-arxiv,1-64,1.9673
GitHub,4-64,0.8925
blog,4-64,2.6444
ogbn-arxiv,4-64,3.8732
GitHub,8-64,1.3973
blog,8-64,4.7865
ogbn-arxiv,8-64,6.0214
