data,a0,s0,a1,s1,a2,s2
GitHub,0.2,0.2,0.2,0.2,0.1,0.1
blog,0.4,0.5,0.4,0.5,0.3,0.3
ogbn-arxiv,0.3,0.2,0.3,0.2,0.3,0.1
