data,a0,s0,a1,s1,a2,s2
GitHub,0.3,0.8,0.3,0.8,0.3,0.2
blog,1.1,6.1000000000000005,1.1,4.8999999999999995,1.1,0.9
ogbn-arxiv,0.4,1.7,0.4,1.7,0.4,0.4
