data,layers,hidden,heads,time
Coauthor_Physics,3,64,1,2.8086
Coauthor_Physics,3,64,2,3.5476
Coauthor_Physics,3,64,4,4.0251
Coauthor_Physics,3,128,1,2.7723
Coauthor_Physics,3,128,2,4.0871
Coauthor_Physics,3,128,4,4.9324
Coauthor_Physics,6,64,1,4.6168
Coauthor_Physics,6,64,2,4.9343
Coauthor_Physics,6,64,4,5.2021
Coauthor_Physics,6,128,1,4.7819
Coauthor_Physics,6,128,2,5.861
Coauthor_Physics,6,128,4,6.7116
