data,a0,s0,a1,s1,a2,s2
GitHub,1.7,0.8,1.7,0.8,0.4,0.2
blog,12.3,4.8999999999999995,11.0,4.8999999999999995,2.6,0.9
ogbn-arxiv,3.6,1.7,3.6,1.7,0.8,0.3
