data,a0,s0,a1,s1,a2,s2
GitHub,1.0,0.2,1.0,0.2,0.3,0.7
blog,6.3,0.5,5.1000000000000005,0.5,1.2,0.4
ogbn-arxiv,1.9,0.4,1.8,0.4,0.5,0.3
