data,layers,hidden,heads,time
artist,3,64,1,1.8433
artist,3,64,2,2.3552
artist,3,128,1,2.0395
artist,3,128,2,2.8856
artist,6,64,1,3.541
artist,6,64,2,3.9385
artist,6,128,1,3.6373
artist,6,128,2,5.8327
artist,3,256,1,2.7078
artist,3,256,2,4.5986
artist,6,256,1,5.6358
artist,6,256,2,10.2068
