data,config,gat16
soc-Epinions1,3-64,2.3611
GitHub,3-64,2.3569
artist,3-64,2.3532
blog,3-64,2.9647
IGB_small,3-64,26.0491
com-DBLP,3-64,6.8567
amazon,3-64,10.3942
amazon0505,3-64,9.4385
dd,3-64,6.6732
comamazon,3-64,7.3696
yeast,3-64,39.1843
