data,layers,hidden,heads,time
yeast,3,64,1,36.3548
yeast,3,64,2,136.5882
yeast,3,64,4,147.8865
yeast,3,128,1,46.379
yeast,3,128,2,151.4143
yeast,3,128,4,173.1481
yeast,6,64,1,52.2195
yeast,6,64,2,152.5592
yeast,6,64,4,163.8402
yeast,6,128,1,78.377
yeast,6,128,2,183.2456
yeast,6,128,4,204.832
