data,head,dgl,dgl- 
cora,1,96.56969696969696,0.34595462291053763
pubmed,1,88.51414141414139,0.3508037712460187
question,1,97.1018181818182,0.010138191720141566
min,1,81.1850505050505,0.12848706547602498
cora,8,95.40303030303032,0.3737440315418734
pubmed,8,88.07373737373739,1.0098076052948883
question,8,97.13535353535352,0.008120662900600211
min,8,81.10464646464646,0.18067511224945504
