data,head,gat16,gat16- 
cora,1,91.62727272727273,0.3989317832888178
pubmed,1,86.02929292929292,0.2520335761777063
question,1,97.01262626262628,0.004862572298574015
min,1,80.04525252525252,0.026586149314910382
cora,4,92.28282828282828,0.4125679669523364
pubmed,4,86.07979797979797,0.3040474580235315
question,4,97.01636363636365,0.007064505334521446
min,4,80.39070707070707,0.07178841537565903
