data,head,gat32,gat32- 
cora,1,91.77070707070708,0.38179290391533866
pubmed,1,86.07474747474747,0.293933018311591
question,1,97.01434343434346,0.005182705967553158
min,1,80.23555555555555,0.0617800942484826
cora,8,92.57070707070707,0.43360202886897437
pubmed,8,86.18787878787877,0.3894718368358762
question,8,97.0031313131313,0.00679832882322501
min,8,80.30181818181818,0.10337531814094812
