data,head,pyg,pyg- 
cora,1,94.94545454545455,0.5313196369289127
pubmed,1,86.18080808080809,0.32878153769010676
question,1,97.0622222222222,0.010257456775492583
min,1,81.64767676767677,0.25270305346446037
cora,8,93.30707070707071,0.41729266518701563
pubmed,8,85.96464646464648,0.4128826317670978
question,8,97.03989898989897,0.006924512728005503
min,8,81.59434343434344,0.2334486860373695
